id,usia,gender,year_in_school,major,pendapatan,bantuan,pendidikan,tempat_tinggal,makanan,transportasi,buku,hiburan,perawatan,teknologi,kesehatan,lainnya,preferred_payment_method,total_pemasukan,total_pengeluaran,sisa_uang,rasio_pengeluaran,financial_score,status_finansial,cluster,nama_cluster
0,19,Non-binary,Freshman,Psychology,15328000,4320000,3167467.0,3403200.0,1657600.0,590400.0,1203200.0,196800.0,436800.0,964800.0,711200.0,403200.0,Credit/Debit Card,19648000,12734667.0,6913333.0,0.648140625,43.67,Bahaya,1,Mahasiswa Boros / Defisit
1,24,Female,Junior,Economics,16096000,14000000,2617600.0,2673600.0,2044000.0,408000.0,1612800.0,355200.0,515200.0,1627200.0,722400.0,380800.0,Credit/Debit Card,30096000,12956800.0,17139200.0,0.4305156831472621,64.65,Stabil,0,Mahasiswa Mapan & Hemat
2,24,Non-binary,Junior,Economics,11744000,14848000,1627200.0,3196800.0,1232000.0,657600.0,633600.0,624000.0,128800.0,1720800.0,627200.0,744800.0,Cash,26592000,11192800.0,15399200.0,0.4209085439229844,66.8,Sangat Sehat,0,Mahasiswa Mapan & Hemat
3,23,Female,Senior,Computer Science,9872000,4240000,2632000.0,3129600.0,1618400.0,547200.0,1427200.0,475200.0,168000.0,1173600.0,588000.0,308000.0,Mobile Payment App,14112000,12067200.0,2044800.0,0.8551020408163266,24.04,Bahaya,1,Mahasiswa Boros / Defisit
4,20,Female,Senior,Computer Science,12960000,8352000,2073067.0,3960000.0,2083200.0,806400.0,1241600.0,230400.0,397600.0,633600.0,397600.0,582400.0,Credit/Debit Card,21312000,12405867.0,8906133.0,0.5821071227477478,54.82,Waspada,1,Mahasiswa Boros / Defisit
5,25,Non-binary,Sophomore,Computer Science,8368000,12640000,1680533.0,1982400.0,2161600.0,585600.0,838400.0,350400.0,212800.0,1684800.0,604800.0,554400.0,Mobile Payment App,21008000,10655733.0,10352267.0,0.5072226294744859,62.17,Stabil,0,Mahasiswa Mapan & Hemat
6,23,Female,Freshman,Engineering,21664000,1104000,2652267.0,3897600.0,2228800.0,484800.0,1363200.0,100800.0,212800.0,1130400.0,655200.0,268800.0,Credit/Debit Card,22768000,12994667.0,9773333.0,0.5707425773014757,55.0,Waspada,1,Mahasiswa Boros / Defisit
7,23,Female,Junior,Economics,10096000,11968000,2115200.0,2740800.0,1506400.0,441600.0,1606400.0,177600.0,504000.0,1094400.0,313600.0,347200.0,Mobile Payment App,22064000,10847200.0,11216800.0,0.4916243654822335,63.3,Stabil,0,Mahasiswa Mapan & Hemat
8,22,Non-binary,Senior,Computer Science,22432000,3968000,3006933.0,2875200.0,1982400.0,393600.0,992000.0,590400.0,229600.0,1166400.0,963200.0,1086400.0,Credit/Debit Card,26400000,13286133.0,13113867.0,0.5032626136363636,61.34,Waspada,0,Mahasiswa Mapan & Hemat
9,18,Female,Junior,Computer Science,22768000,1184000,2121067.0,3004800.0,1394400.0,561600.0,787200.0,244800.0,414400.0,1749600.0,190400.0,1097600.0,Mobile Payment App,23952000,11565867.0,12386133.0,0.482876878757515,63.55,Stabil,0,Mahasiswa Mapan & Hemat
10,23,Male,Junior,Biology,12192000,9840000,2182933.0,3168000.0,1467200.0,278400.0,1171200.0,470400.0,117600.0,1972800.0,369600.0,280000.0,Credit/Debit Card,22032000,11478133.0,10553867.0,0.5209755355846042,59.59,Waspada,0,Mahasiswa Mapan & Hemat
11,25,Male,Freshman,Engineering,17088000,304000,2740267.0,3523200.0,1360800.0,960000.0,1459200.0,273600.0,319200.0,1504800.0,1080800.0,817600.0,Credit/Debit Card,17392000,14039467.0,3352533.0,0.8072370630174793,27.36,Bahaya,1,Mahasiswa Boros / Defisit
12,21,Male,Sophomore,Economics,11504000,8640000,2593600.0,4291200.0,1568000.0,576000.0,806400.0,196800.0,280000.0,561600.0,632800.0,638400.0,Credit/Debit Card,20144000,12144800.0,7999200.0,0.6028991262907069,51.54,Waspada,1,Mahasiswa Boros / Defisit
13,19,Female,Junior,Biology,18816000,13744000,2773867.0,3004800.0,1310400.0,240000.0,1753600.0,96000.0,431200.0,900000.0,1114400.0,576800.0,Mobile Payment App,32560000,12201067.0,20358933.0,0.374725644963145,66.21,Stabil,0,Mahasiswa Mapan & Hemat
14,24,Non-binary,Freshman,Economics,23936000,1200000,2827200.0,3153600.0,845600.0,302400.0,588800.0,595200.0,358400.0,1411200.0,280000.0,655200.0,Cash,25136000,11017600.0,14118400.0,0.43831954169318904,64.18,Stabil,0,Mahasiswa Mapan & Hemat
